title,category,severity,description,resolution
Firewall Block,Hardware,P2,Firewall Block reported by employee. Incident ID INC0050. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
Email Delivery Failure,Database,P2,Email Delivery Failure reported by employee. Incident ID INC0051. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
SSL Certificate Expired,Database,P2,SSL Certificate Expired reported by employee. Incident ID INC0052. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
WiFi Connectivity Issue,Account,P3,WiFi Connectivity Issue reported by employee. Incident ID INC0053. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
Email Delivery Failure,Security,P3,Email Delivery Failure reported by employee. Incident ID INC0054. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
Printer Offline,Server,P3,Printer Offline reported by employee. Incident ID INC0055. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for server, verified service restored and closed the ticket."
Outlook Not Syncing,Server,P1,Outlook Not Syncing reported by employee. Incident ID INC0056. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for server, verified service restored and closed the ticket."
File Share Access Denied,Hardware,P3,File Share Access Denied reported by employee. Incident ID INC0057. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
Blue Screen Error,Database,P2,Blue Screen Error reported by employee. Incident ID INC0058. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
Blue Screen Error,Email,P1,Blue Screen Error reported by employee. Incident ID INC0059. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
Email Delivery Failure,Software,P1,Email Delivery Failure reported by employee. Incident ID INC0060. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
SSL Certificate Expired,Security,P4,SSL Certificate Expired reported by employee. Incident ID INC0061. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
WiFi Connectivity Issue,Account,P3,WiFi Connectivity Issue reported by employee. Incident ID INC0062. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
BitLocker Recovery,Hardware,P4,BitLocker Recovery reported by employee. Incident ID INC0063. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
Account Locked,Server,P4,Account Locked reported by employee. Incident ID INC0064. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for server, verified service restored and closed the ticket."
Printer Offline,Database,P4,Printer Offline reported by employee. Incident ID INC0065. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
Account Locked,Email,P4,Account Locked reported by employee. Incident ID INC0066. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
Server Down,Hardware,P1,Server Down reported by employee. Incident ID INC0067. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
Database Connection Error,Hardware,P4,Database Connection Error reported by employee. Incident ID INC0068. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
File Share Access Denied,Server,P3,File Share Access Denied reported by employee. Incident ID INC0069. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for server, verified service restored and closed the ticket."
Server Down,Email,P2,Server Down reported by employee. Incident ID INC0070. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
Firewall Block,Network,P4,Firewall Block reported by employee. Incident ID INC0071. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
Account Locked,Hardware,P1,Account Locked reported by employee. Incident ID INC0072. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
Email Delivery Failure,Account,P1,Email Delivery Failure reported by employee. Incident ID INC0073. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
Laptop Slow Performance,Security,P3,Laptop Slow Performance reported by employee. Incident ID INC0074. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
Outlook Not Syncing,Database,P3,Outlook Not Syncing reported by employee. Incident ID INC0075. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
MFA Failure,Server,P2,MFA Failure reported by employee. Incident ID INC0076. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for server, verified service restored and closed the ticket."
Printer Offline,Hardware,P3,Printer Offline reported by employee. Incident ID INC0077. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
SSL Certificate Expired,Software,P3,SSL Certificate Expired reported by employee. Incident ID INC0078. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
WiFi Connectivity Issue,Server,P2,WiFi Connectivity Issue reported by employee. Incident ID INC0079. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for server, verified service restored and closed the ticket."
Blue Screen Error,Software,P3,Blue Screen Error reported by employee. Incident ID INC0080. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
Network Latency,Database,P2,Network Latency reported by employee. Incident ID INC0081. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
Server Down,Account,P4,Server Down reported by employee. Incident ID INC0082. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
Database Connection Error,Network,P1,Database Connection Error reported by employee. Incident ID INC0083. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
Server Down,Hardware,P2,Server Down reported by employee. Incident ID INC0084. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
Printer Offline,Server,P2,Printer Offline reported by employee. Incident ID INC0085. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for server, verified service restored and closed the ticket."
DNS Resolution Failure,Hardware,P1,DNS Resolution Failure reported by employee. Incident ID INC0086. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
Account Locked,Database,P4,Account Locked reported by employee. Incident ID INC0087. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
Printer Offline,Network,P4,Printer Offline reported by employee. Incident ID INC0088. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
Software Installation Failed,Hardware,P3,Software Installation Failed reported by employee. Incident ID INC0089. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
VPN Connection Failure,Database,P4,VPN Connection Failure reported by employee. Incident ID INC0090. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
Account Locked,Network,P1,Account Locked reported by employee. Incident ID INC0091. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
Outlook Not Syncing,Software,P3,Outlook Not Syncing reported by employee. Incident ID INC0092. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
Disk Space Alert,Network,P3,Disk Space Alert reported by employee. Incident ID INC0093. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
DNS Resolution Failure,Network,P3,DNS Resolution Failure reported by employee. Incident ID INC0094. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
WiFi Connectivity Issue,Network,P4,WiFi Connectivity Issue reported by employee. Incident ID INC0095. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
Network Latency,Network,P2,Network Latency reported by employee. Incident ID INC0096. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
WiFi Connectivity Issue,Database,P4,WiFi Connectivity Issue reported by employee. Incident ID INC0097. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
Password Reset,Hardware,P4,Password Reset reported by employee. Incident ID INC0098. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
Firewall Block,Software,P4,Firewall Block reported by employee. Incident ID INC0099. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
Firewall Block,Account,P2,Firewall Block reported by employee. Incident ID INC0100. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
Blue Screen Error,Server,P3,Blue Screen Error reported by employee. Incident ID INC0101. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for server, verified service restored and closed the ticket."
Laptop Slow Performance,Network,P3,Laptop Slow Performance reported by employee. Incident ID INC0102. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
Outlook Not Syncing,Hardware,P1,Outlook Not Syncing reported by employee. Incident ID INC0103. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
Email Delivery Failure,Hardware,P2,Email Delivery Failure reported by employee. Incident ID INC0104. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
VPN Connection Failure,Software,P4,VPN Connection Failure reported by employee. Incident ID INC0105. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
VPN Connection Failure,Hardware,P1,VPN Connection Failure reported by employee. Incident ID INC0106. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
Blue Screen Error,Hardware,P2,Blue Screen Error reported by employee. Incident ID INC0107. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
SSL Certificate Expired,Security,P3,SSL Certificate Expired reported by employee. Incident ID INC0108. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
Blue Screen Error,Security,P2,Blue Screen Error reported by employee. Incident ID INC0109. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
BitLocker Recovery,Hardware,P4,BitLocker Recovery reported by employee. Incident ID INC0110. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
Firewall Block,Email,P2,Firewall Block reported by employee. Incident ID INC0111. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
Laptop Slow Performance,Security,P2,Laptop Slow Performance reported by employee. Incident ID INC0112. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
Printer Offline,Software,P1,Printer Offline reported by employee. Incident ID INC0113. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
DNS Resolution Failure,Hardware,P4,DNS Resolution Failure reported by employee. Incident ID INC0114. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
Database Connection Error,Email,P1,Database Connection Error reported by employee. Incident ID INC0115. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
DNS Resolution Failure,Account,P4,DNS Resolution Failure reported by employee. Incident ID INC0116. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
Firewall Block,Network,P4,Firewall Block reported by employee. Incident ID INC0117. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
Firewall Block,Email,P3,Firewall Block reported by employee. Incident ID INC0118. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
Network Latency,Security,P3,Network Latency reported by employee. Incident ID INC0119. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
SSL Certificate Expired,Email,P2,SSL Certificate Expired reported by employee. Incident ID INC0120. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
DNS Resolution Failure,Security,P1,DNS Resolution Failure reported by employee. Incident ID INC0121. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
Email Delivery Failure,Software,P3,Email Delivery Failure reported by employee. Incident ID INC0122. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
Network Latency,Account,P1,Network Latency reported by employee. Incident ID INC0123. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
Network Latency,Software,P4,Network Latency reported by employee. Incident ID INC0124. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
Outlook Not Syncing,Email,P3,Outlook Not Syncing reported by employee. Incident ID INC0125. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
Database Connection Error,Software,P3,Database Connection Error reported by employee. Incident ID INC0126. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
Printer Offline,Account,P2,Printer Offline reported by employee. Incident ID INC0127. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
Firewall Block,Software,P3,Firewall Block reported by employee. Incident ID INC0128. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
Server Down,Email,P4,Server Down reported by employee. Incident ID INC0129. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
Email Delivery Failure,Hardware,P3,Email Delivery Failure reported by employee. Incident ID INC0130. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
Blue Screen Error,Account,P3,Blue Screen Error reported by employee. Incident ID INC0131. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
Blue Screen Error,Server,P1,Blue Screen Error reported by employee. Incident ID INC0132. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for server, verified service restored and closed the ticket."
WiFi Connectivity Issue,Security,P4,WiFi Connectivity Issue reported by employee. Incident ID INC0133. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
File Share Access Denied,Network,P3,File Share Access Denied reported by employee. Incident ID INC0134. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
File Share Access Denied,Account,P4,File Share Access Denied reported by employee. Incident ID INC0135. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
Blue Screen Error,Server,P4,Blue Screen Error reported by employee. Incident ID INC0136. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for server, verified service restored and closed the ticket."
Network Latency,Security,P3,Network Latency reported by employee. Incident ID INC0137. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
VPN Connection Failure,Hardware,P2,VPN Connection Failure reported by employee. Incident ID INC0138. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
Account Locked,Hardware,P3,Account Locked reported by employee. Incident ID INC0139. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
MFA Failure,Security,P4,MFA Failure reported by employee. Incident ID INC0140. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
Firewall Block,Software,P4,Firewall Block reported by employee. Incident ID INC0141. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
BitLocker Recovery,Email,P2,BitLocker Recovery reported by employee. Incident ID INC0142. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
Account Locked,Security,P2,Account Locked reported by employee. Incident ID INC0143. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
Laptop Slow Performance,Software,P3,Laptop Slow Performance reported by employee. Incident ID INC0144. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
Laptop Slow Performance,Network,P4,Laptop Slow Performance reported by employee. Incident ID INC0145. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
Account Locked,Software,P1,Account Locked reported by employee. Incident ID INC0146. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
Password Reset,Hardware,P3,Password Reset reported by employee. Incident ID INC0147. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
Blue Screen Error,Database,P4,Blue Screen Error reported by employee. Incident ID INC0148. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
Outlook Not Syncing,Software,P2,Outlook Not Syncing reported by employee. Incident ID INC0149. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
Software Installation Failed,Database,P4,Software Installation Failed reported by employee. Incident ID INC0150. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
Email Delivery Failure,Software,P1,Email Delivery Failure reported by employee. Incident ID INC0151. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
MFA Failure,Account,P4,MFA Failure reported by employee. Incident ID INC0152. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
Firewall Block,Email,P4,Firewall Block reported by employee. Incident ID INC0153. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
Printer Offline,Hardware,P3,Printer Offline reported by employee. Incident ID INC0154. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
Password Reset,Database,P2,Password Reset reported by employee. Incident ID INC0155. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
Email Delivery Failure,Account,P4,Email Delivery Failure reported by employee. Incident ID INC0156. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
Blue Screen Error,Database,P4,Blue Screen Error reported by employee. Incident ID INC0157. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
Disk Space Alert,Server,P4,Disk Space Alert reported by employee. Incident ID INC0158. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for server, verified service restored and closed the ticket."
Email Delivery Failure,Software,P1,Email Delivery Failure reported by employee. Incident ID INC0159. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
Outlook Not Syncing,Network,P3,Outlook Not Syncing reported by employee. Incident ID INC0160. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
MFA Failure,Account,P4,MFA Failure reported by employee. Incident ID INC0161. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
Software Installation Failed,Software,P4,Software Installation Failed reported by employee. Incident ID INC0162. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
Laptop Slow Performance,Network,P4,Laptop Slow Performance reported by employee. Incident ID INC0163. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
Database Connection Error,Security,P4,Database Connection Error reported by employee. Incident ID INC0164. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
Email Delivery Failure,Email,P2,Email Delivery Failure reported by employee. Incident ID INC0165. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
